Año;region_curso;Region_domicilio_registrado;localidad;tipo_beca;Toeic_Inicial;Toeic_Final
2012;9;9;Angol;100 Horas;230;0
2012;9;9;Angol;100 Horas;265;0
2012;2;2;Antofagasta;100 Horas;400;0
2012;2;2;Antofagasta;100 Horas;395;0
2012;2;2;Antofagasta;100 Horas;485;0
2012;2;2;Antofagasta;100 Horas;660;0
2012;2;13;Antofagasta;100 Horas;620;0
2012;2;2;Antofagasta;100 Horas;675;0
2012;2;2;Antofagasta;100 Horas;595;0
2012;2;2;Antofagasta;100 Horas;535;0
2012;15;15;Arica;100 Horas;390;0
2012;15;15;Arica;100 Horas;295;0
2012;2;2;Calama;100 Horas;390;0
2012;2;2;Calama;100 Horas;415;0
2012;2;2;Calama;100 Horas;415;0
2012;2;2;Calama;100 Horas;305;0
2012;2;2;Calama;100 Horas;380;0
2012;2;2;Calama;100 Horas;350;0
2012;2;2;Calama;100 Horas;260;0
2012;8;8;Cañete;100 Horas;540;0
2012;8;8;Cañete;100 Horas;285;0
2012;8;8;Cañete;100 Horas;365;0
2012;8;8;Cañete;100 Horas;300;0
2012;8;8;Chillán;100 Horas;475;0
2012;8;8;Chillán;100 Horas;615;0
2012;8;8;Chillán;100 Horas;255;0
2012;8;8;Concepción;100 Horas;380;0
2012;8;8;Concepción;100 Horas;470;0
2012;8;5;Concepción;100 Horas;390;0
2012;8;8;Concepción;100 Horas;385;0
2012;8;8;Concepción;100 Horas;370;0
2012;8;8;Concepción;100 Horas;450;0
2012;8;8;Concepción;100 Horas;505;0
2012;8;8;Concepción;100 Horas;625;0
2012;8;8;Concepción;100 Horas;625;0
2012;8;8;Concepción;100 Horas;620;0
2012;8;8;Concepción;100 Horas;360;0
2012;8;8;Concepción;100 Horas;575;0
2012;8;8;Concepción;100 Horas;555;0
2012;3;3;Copiapó;100 Horas;615;0
2012;3;3;Copiapó;100 Horas;210;0
2012;3;3;Copiapó;100 Horas;310;0
2012;3;3;Copiapó;100 Horas;300;0
2012;3;3;Copiapó;100 Horas;360;0
2012;3;3;Copiapó;100 Horas;695;0
2012;7;7;Curicó;100 Horas;540;0
2012;7;7;Curicó;100 Horas;325;0
2012;7;7;Curicó;100 Horas;400;0
2012;7;7;Curicó;100 Horas;260;0
2012;7;7;Curicó;100 Horas;220;0
2012;1;1;Iquique;100 Horas;500;0
2012;1;1;Iquique;100 Horas;490;0
2012;1;13;Iquique;100 Horas;505;0
2012;1;1;Iquique;100 Horas;555;0
2012;1;1;Iquique;100 Horas;685;0
2012;1;1;Iquique;100 Horas;635;0
2012;1;1;Iquique;100 Horas;485;0
2012;1;1;Iquique;100 Horas;675;0
2012;1;1;Iquique;100 Horas;525;0
2012;1;1;Iquique;100 Horas;285;0
2012;1;1;Iquique;100 Horas;430;0
2012;1;1;Iquique;100 Horas;470;0
2012;1;1;Iquique;100 Horas;395;0
2012;1;1;Iquique;100 Horas;355;0
2012;4;4;La Serena;100 Horas;510;0
2012;4;4;La Serena;100 Horas;510;0
2012;4;4;La Serena;100 Horas;635;0
2012;4;4;La Serena;100 Horas;625;0
2012;4;4;La Serena;100 Horas;685;0
2012;4;4;La Serena;100 Horas;350;0
2012;4;4;La Serena;100 Horas;315;0
2012;4;4;La Serena;100 Horas;260;0
2012;4;4;La Serena;100 Horas;245;0
2012;4;4;La Serena;100 Horas;325;0
2012;5;5;Los Andes;100 Horas;575;0
2012;5;5;Los Andes;100 Horas;195;0
2012;5;5;Los Andes;100 Horas;320;0
2012;5;5;Los Andes;100 Horas;180;0
2012;8;8;Los Ángeles;100 Horas;265;0
2012;8;8;Los Ángeles;100 Horas;530;0
2012;8;8;Los Ángeles;100 Horas;435;0
2012;8;8;Los Ángeles;100 Horas;295;0
2012;8;8;Los Ángeles;100 Horas;450;0
2012;8;8;Los Ángeles;100 Horas;240;0
2012;10;10;Osorno;100 Horas;325;0
2012;10;10;Osorno;100 Horas;305;0
2012;10;10;Osorno;100 Horas;405;0
2012;10;10;Osorno;100 Horas;450;0
2012;10;10;Osorno;100 Horas;620;0
2012;10;10;Osorno;100 Horas;530;0
2012;4;4;Ovalle;100 Horas;300;0
2012;10;10;Puerto Montt;100 Horas;175;0
2012;12;12;Puerto Natales;100 Horas;350;0
2012;12;9;Puerto Natales;100 Horas;395;0
2012;12;12;Punta Arenas;100 Horas;635;0
2012;12;12;Punta Arenas;100 Horas;650;0
2012;12;12;Punta Arenas;100 Horas;555;0
2012;12;12;Punta Arenas;100 Horas;630;0
2012;12;12;Punta Arenas;100 Horas;290;0
2012;12;12;Punta Arenas;100 Horas;350;0
2012;5;5;Quillota;100 Horas;265;0
2012;5;5;Quillota;100 Horas;400;0
2012;6;6;Rancagua;100 Horas;325;0
2012;6;6;Rancagua;100 Horas;255;0
2012;6;6;Rancagua;100 Horas;345;0
2012;6;6;Rancagua;100 Horas;295;0
2012;6;6;Rancagua;100 Horas;385;0
2012;6;6;Rancagua;100 Horas;640;0
2012;6;6;Rancagua;100 Horas;645;0
2012;6;6;Santa Cruz;100 Horas;260;0
2012;6;6;Santa Cruz;100 Horas;445;0
2012;6;6;Santa Cruz;100 Horas;470;0
2012;6;6;Santa Cruz;100 Horas;340;0
2012;6;6;Santa Cruz;100 Horas;580;0
2012;6;6;Santa Cruz;100 Horas;490;0
2012;6;6;Santa Cruz;100 Horas;545;0
2012;13;13;Santiago;100 Horas;645;0
2012;13;13;Santiago;100 Horas;530;0
2012;13;13;Santiago;100 Horas;535;0
2012;13;13;Santiago;100 Horas;530;0
2012;13;13;Santiago;100 Horas;560;0
2012;13;13;Santiago;100 Horas;530;0
2012;13;13;Santiago;100 Horas;495;0
2012;13;13;Santiago;100 Horas;455;0
2012;13;5;Santiago;100 Horas;430;0
2012;13;13;Santiago;100 Horas;665;0
2012;13;13;Santiago;100 Horas;445;0
2012;13;13;Santiago;100 Horas;445;0
2012;13;13;Santiago;100 Horas;465;0
2012;13;13;Santiago;100 Horas;570;0
2012;13;13;Santiago;100 Horas;535;0
2012;13;13;Santiago;100 Horas;645;0
2012;13;8;Santiago;100 Horas;450;0
2012;13;13;Santiago;100 Horas;615;0
2012;13;13;Santiago;100 Horas;585;0
2012;13;13;Santiago;100 Horas;455;0
2012;13;13;Santiago;100 Horas;470;0
2012;13;13;Santiago;100 Horas;640;0
2012;13;13;Santiago;100 Horas;645;0
2012;13;13;Santiago;100 Horas;485;0
2012;13;13;Santiago;100 Horas;530;0
2012;13;13;Santiago;100 Horas;530;0
2012;13;13;Santiago;100 Horas;460;0
2012;13;13;Santiago;100 Horas;435;0
2012;13;13;Santiago;100 Horas;465;0
2012;13;13;Santiago;100 Horas;485;0
2012;13;13;Santiago;100 Horas;540;0
2012;13;13;Santiago;100 Horas;495;0
2012;13;13;Santiago;100 Horas;605;0
2012;13;13;Santiago;100 Horas;485;0
2012;13;13;Santiago;100 Horas;445;0
2012;13;13;Santiago;100 Horas;620;0
2012;13;13;Santiago;100 Horas;540;0
2012;13;5;Santiago;100 Horas;545;0
2012;13;13;Santiago;100 Horas;630;0
2012;13;13;Santiago;100 Horas;475;0
2012;13;13;Santiago;100 Horas;660;0
2012;13;13;Santiago;100 Horas;615;0
2012;13;13;Santiago;100 Horas;580;0
2012;13;13;Santiago;100 Horas;595;0
2012;13;13;Santiago;100 Horas;665;0
2012;13;13;Santiago;100 Horas;565;0
2012;13;13;Santiago;100 Horas;530;0
2012;13;13;Santiago;100 Horas;570;0
2012;13;13;Santiago;100 Horas;450;0
2012;13;13;Santiago;100 Horas;575;0
2012;13;13;Santiago;100 Horas;575;0
2012;13;13;Santiago;100 Horas;490;0
2012;13;13;Santiago;100 Horas;565;0
2012;13;13;Santiago;100 Horas;620;0
2012;13;13;Santiago;100 Horas;605;0
2012;13;13;Santiago;100 Horas;560;0
2012;13;13;Santiago;100 Horas;565;0
2012;13;13;Santiago;100 Horas;610;0
2012;13;13;Santiago;100 Horas;485;0
2012;13;13;Santiago;100 Horas;445;0
2012;13;13;Santiago;100 Horas;655;0
2012;13;13;Santiago;100 Horas;635;0
2012;13;13;Santiago;100 Horas;535;0
